hnm_code,hn_exclusive,hn_premier,hn_advantage,hn_standard_plus,hn_standard,hn_basic_plus,hn_basic,provider_name,google_name,city,type,group_name,tel_no,area,location
OTH0087,✔,✔,✔,✔,✔,✖,✖,Occhiali Optician-Mirdiff City Centre,Occhiali Optics,DUBAI,OPTICAL CENTER,Yateem Optician,04-2840660,Sheikh Mohammed Bin Zayed Road,"Sheikh Mohammed Bin Zayed Road, Dubai"
OTH0088,✔,✔,✔,✔,✔,✖,✖,Yateem Optics-The Pointe Mall,Yateem Optics,DUBAI,OPTICAL CENTER,Yateem Optician,04-5897708,Palm Jumeiraj Al Mirziban,"Palm Jumeirah - Al Mirziban, Dubai"
OTH0089,✔,✔,✔,✔,✔,✖,✖,Maybach Boutique - Dubai Mall,Maybach Icons Of Luxury,DUBAI,OPTICAL CENTER,Yateem Optician,04-3495401,Financial Centre Road,"Financial Center Rd, Along Sheik zayed road"
OTH0091,✔,✔,✔,✔,✔,✖,✖,Yateem Optician-Abu Dhabi Mall,Yateem Optician - Abu Dhabi Mall,ABU DHABI,OPTICAL CENTER,Yateem Optician,02-6451566,Tourist Club Area,"Shop No. B-51, Abu Dhabi Mall, Tourist Club Area, Abu Dhabi."
OTH0092,✔,✔,✔,✔,✔,✖,✖,Yateem Optician-Marina Mall,Yateem Optician,ABU DHABI,OPTICAL CENTER,Yateem Optician,02-6812699,Marina Mall,"Shop located on 1st Floor, End of Corniche Road, Marina Mall, Abu Dhabi"
OTH0093,✔,✔,✔,✔,✔,✖,✖,Yateem Optician-Al Ain Mall,Yateem Optician,AL AIN,OPTICAL CENTER,Yateem Optician,03-7510025,Al Ain Mall,"Shop No.F-37, Al Ain Mall, Al Ain"
OTH0094,✔,✔,✔,✔,✔,✖,✖,Yateem Eye Center & Day Care Surgery,Yateem Specialized Center Day Surgery,ABU DHABI,OPTICAL CENTER,Yateem Optician,02-6666167,Khalifa City,"Unit No. G-3, SW16, Parallel Avenue to 29th Street, Khalifa City A Airport Road Abu Dhabi"
OTH0095,✔,✔,✔,✔,✔,✖,✖,Yateem Optician-Baniyas,Yateem Optician,ABU DHABI,OPTICAL CENTER,Yateem Optician,02-5858786,Bawabat Al Saraq Mall,"Unit No. RA 063+062, Ground Floor, Bawabat Al Sharq Mall, Baniyas, Abu Dhabi"
OTH0096,✔,✔,✔,✔,✔,✖,✖,Yateem Optician-Dalma Mall,Yateem Optician,ABU DHABI,OPTICAL CENTER,Yateem Optician,02-5508633,Dalma Mall Abudhabi,"Shop located on 1st Floor, Shop No. FF023, Dalma Mall, Abu Dhabi"
OTH0097,✔,✔,✔,✔,✔,✖,✖,Yateem Optician-Al Wahda Mall,Yateem Optician,ABU DHABI,OPTICAL CENTER,Yateem Optician,02-4437460,Al Wahda Mall,"shop is situated on 1st floor - FF 258, Al Wahda Mall, Abu Dhabi"
OTH0098,✔,✔,✔,✔,✔,✖,✖,Yateem Optician-Ruwais Mall,Yateem Optician,ABU DHABI,OPTICAL CENTER,Yateem Optician,02-8766622,Ruwais Mall,"Shop No. 29,1st Floor,Ruwais Mall,Ruwais, Abu Dhabi"
OTH0099,✔,✔,✔,✔,✔,✖,✖,Yateem Optics-Yas Mall,Yateem Optics,ABU DHABI,OPTICAL CENTER,Yateem Optician,02-5651444,Yas Island Abudhabi,"Shop No. G-091 & G-092, Yas Mall, Yas Island, Abu Dhabi"
OTH0100,✔,✔,✔,✔,✔,✖,✖,Yateem Optician-Khalidia Mall,Yateem Optician,ABU DHABI,OPTICAL CENTER,Yateem Optician,02-6354999,Khalidia Mall,"showroom situated in Unit 255, 1st Floor, Khalidia Mall, Abu Dhabi"
OTH0101,✔,✔,✔,✔,✔,✖,✖,Yateem Optician-Shangrilla,Yateem Optician-Shangrilla,ABU DHABI,OPTICAL CENTER,Yateem Optician,02-5581660,Qaryat Al Berry,"Shop No. 21 located on 1st Floor, Shangrilla - Qaryat Al Berry, Abu Dhabi"
OTH0102,✔,✔,✔,✔,✔,✖,✖,Yateem Optician-Hamdan Street,Yateem Optician - Hamdan St,ABU DHABI,OPTICAL CENTER,Yateem Optician,02-6776222,Hamdan Road,"Crystal Tower,Ground and Mezzanine floor, Hamdan Road, Abu Dhabi"
OTH0103,✔,✔,✔,✔,✔,✖,✖,Yateem Optics-Khalifa City,Yateem Optics,ABU DHABI,OPTICAL CENTER,Yateem Optician,02-6666402,Khalifa City,"Unit No. G-3, SW16, Parallel Avenue to 29th Street, Khalifa City A Airport Road Abu Dhabi"
OTH0104,✔,✔,✔,✔,✔,✖,✖,Occhiali Optician-Dalma Mall,Occhiali Optician-Dalma Mall,ABU DHABI,OPTICAL CENTER,Yateem Optician,02-5508633,Dalma Mall Abudhabi,"19th St, Abu Dhabi"
OTH0105,✔,✔,✔,✔,✔,✖,✖,Yateem Optician-Khalifa Street,Yateem Optician - Khalifa Bin Zayed St,ABU DHABI,OPTICAL CENTER,Yateem Optician,02-6277022,Khalifa Street,"Ground floor of Attiq Al Mazroui bldg, Opp. Al Manara Ph. Khalifa Street, Abu Dhabi"
OTH0107,✔,✔,✔,✔,✔,✖,✖,Yateem Optician-Al Ain Main,Yateem Optician Al Ain,AL AIN,OPTICAL CENTER,Yateem Optician,03-7663432,Main street,"Ground & Mezz. Floor of bldg situated near over bridge main street, Al Ain"
OTH0108,✔,✔,✔,✔,✔,✖,✖,Yateem Optician-Sharjah City Centre - Sharjah 3,Yateem Optician,SHARJAH,OPTICAL CENTER,Yateem Optician,06-5288065,Al Wahda Road - Sharjah,Al Wahda Road - Sharjah
OTH0109,✔,✔,✔,✔,✔,✖,✖,Yateem Optician-Sahara Centre - Sharjah 2,Yateem Optician,SHARJAH,OPTICAL CENTER,Yateem Optician,06-5300605,Al Nahda St,"Al Nahda St, Sharjah"
OTH0110,✔,✔,✔,✔,✔,✖,✖,Yateem Optician-Al Fardan - Sharjah 4,Yateem Optician,SHARJAH,OPTICAL CENTER,Yateem Optician,06-5562677,Corniche,"Corniche, Sharjah"
OTH0111,✔,✔,✔,✔,✔,✖,✖,Yateem Optician-Manar Mall,Yateem Optician,RAK,OPTICAL CENTER,Yateem Optician,07-2210627,Manar Mall,"Al Muntasir Road, Manar Mall, Ras Al Khaima"
OTH0112,✔,✔,✔,✔,✔,✖,✖,Yateem Optician-Fujairah Mall,Yateem Optician,FUJAIRAH,OPTICAL CENTER,Yateem Optician,09-2224616,Maliha Fujairah Rd,"Maliha Fujairah Rd, Near Fujairah Hospital, Fujairah"
OTH0113,✔,✔,✔,✔,✔,✖,✖,Yateem Optician-RAK Mall,Yateem Optician,RAK,OPTICAL CENTER,Yateem Optician,07-2264001,Khuzam Road,"Khuzam Road, Al Qurm - Ras al Khaimah"
